temperature,humidity,pressure,wind_speed,vibration
29.5,38.1,1008.2,9.4,0.35
31.2,35.0,1006.5,10.8,0.42
28.8,39.5,1009.0,8.7,0.31
30.6,36.2,1007.1,10.2,0.39
32.0,33.8,1005.8,11.5,0.48
29.1,38.8,1008.5,9.1,0.33
31.8,34.5,1006.2,11.0,0.45
28.3,40.2,1009.5,8.3,0.29
30.2,36.8,1007.5,9.9,0.37
32.5,33.0,1005.2,12.0,0.51
29.8,37.5,1008.0,9.6,0.36
31.5,34.8,1006.3,10.9,0.44
28.0,41.0,1010.0,8.0,0.27
30.9,35.5,1006.8,10.5,0.41
32.2,33.5,1005.5,11.7,0.49
29.3,38.5,1008.3,9.2,0.34
31.0,35.2,1006.6,10.7,0.43
28.5,39.8,1009.2,8.5,0.30
30.4,36.5,1007.3,10.0,0.38
32.8,32.5,1005.0,12.3,0.53
29.6,37.8,1008.1,9.5,0.35
31.3,34.6,1006.4,10.8,0.44
28.2,40.5,1009.7,8.2,0.28
30.7,36.0,1007.0,10.3,0.40
32.3,33.2,1005.4,11.8,0.50
29.0,39.0,1008.6,9.0,0.32
31.6,34.3,1006.1,11.1,0.46
28.7,39.6,1009.1,8.6,0.31
30.0,37.0,1007.7,9.8,0.36
32.6,32.8,1005.1,12.1,0.52
29.4,38.3,1008.4,9.3,0.34
31.1,35.1,1006.5,10.7,0.43
28.4,40.0,1009.4,8.4,0.29
30.5,36.3,1007.2,10.1,0.39
32.0,33.6,1005.6,11.6,0.48
29.7,37.6,1008.0,9.5,0.35
31.4,34.7,1006.3,10.9,0.44
28.1,40.8,1009.8,8.1,0.28
30.8,35.8,1006.9,10.4,0.40
32.4,33.3,1005.3,11.9,0.50
29.2,38.6,1008.4,9.2,0.33
31.7,34.2,1006.0,11.2,0.46
28.6,39.7,1009.1,8.6,0.31
30.1,37.2,1007.6,9.8,0.37
32.7,32.6,1005.0,12.2,0.53
29.9,37.3,1007.9,9.7,0.36
31.9,34.0,1005.9,11.3,0.47
28.9,39.3,1008.8,8.8,0.32
30.3,36.6,1007.4,10.0,0.38
32.1,33.4,1005.5,11.7,0.49
